,Tokens
4418,ag
4419,"3,333,000"
4420,sdyn
4421,remark
4422,bamberg
4423,"91,980"
4424,onverdacht
4425,quick-fix
4426,time
4427,upgrad
4428,melton
4429,597.5
4430,britannia
4431,settl
4432,109-billion
4433,10.47
4434,bandwagon
4435,20.24
4436,squash
4437,a.l
4438,six-monthli
4439,dkb
4440,9.30
4441,amortis
4442,1400
4443,duesseldorf
4444,tendenc
4445,comtech
4446,leucadia
4447,479p
4448,"292,000"
4449,573
4450,peep
4451,ucc
4452,3.44
4453,must
4454,non-recurr
4455,centurion
4456,5.26
4457,quietli
4458,ostn
4459,guyana
4460,14.90
4461,non-pay
4462,impact
4463,26.43
4464,344.25
4465,ealier
4466,nz
4467,havr
4468,beba
4469,certian
4470,kastl
4471,reilli
4472,mccl
4473,755
4474,corros
4475,london
4476,erodobl
4477,"264,650"
4478,excit
4479,25.50
4480,"4,427,000"
4481,"622,130"
4482,comtec
4483,sfcp
4484,114
4485,"106,885"
4486,827
4487,non-qualifi
4488,reexport
4489,yield
4490,"61,763"
4491,1.183
4492,grandview
4493,viermetz
4494,516.9
4495,anita
4496,"4,083,833"
4497,sub-saharan
4498,wake
4499,"80,498"
4500,amoskeag
4501,asu
4502,"650,653"
4503,nondefens
4504,sicilia
4505,code
4506,milgard
4507,paranagua
4508,"1,929,000"
4509,nixdorf
4510,bennigan
4511,collar
4512,harmoni
4513,"194,842"
4514,dlr-denomin
4515,kpa
4516,"663,000"
4517,sheep
4518,2.330
4519,ocf
4520,multi-curr
4521,mavr
4522,paycheck
4523,denton
4524,negara
4525,0.139
4526,torn
4527,donnelli
4528,june-august
4529,kravi
4530,singhasaneh
4531,vc
4532,non-properti
4533,462.8
4534,"1,274,000"
4535,sept.
4536,11.55
4537,castelo
4538,142.95
4539,"692,872"
4540,post-budget
4541,biopool
4542,603
4543,"4,042,000"
4544,26.49
4545,agreemn
4546,whichev
4547,nederlandsch
4548,"74,071,755"
4549,"118,192"
4550,ljubljana
4551,"9,683,392"
4552,guerrilla
4553,"3,017,000"
4554,sylla
4555,labor-intens
4556,msco
4557,motorway
4558,"128,164"
4559,clabir
4560,retail
4561,ctl
4562,august
4563,satisfact
4564,umbrella
4565,8.807
4566,non-monetari
4567,"332,900"
4568,"1,301,000"
4569,same-stor
4570,vacant
4571,cmmc
4572,robn
4573,"8,000-10,000"
4574,oruro
4575,petrolifero
4576,virgin
4577,gnma
4578,organist
4579,zaki
4580,plausibl
4581,schrader
4582,shb
4583,12-day
4584,gleason
4585,2.92
4586,friendli
4587,"3,138,000"
4588,exton
4589,16.11
4590,potash
4591,"2,173,000"
4592,cow
4593,midyear
4594,timminco
4595,lower-level
4596,microdyn
4597,falcf
4598,silfer
4599,"23,457"
4600,138.0
4601,11.13
4602,"3,053,000"
4603,1.525
4604,italian-mad
4605,itxi
4606,cbot
4607,controversi
4608,32.76
4609,chimi
4610,93.5
4611,secreci
4612,pentagon
4613,vienot
4614,slice
4615,tucker
4616,693.4
4617,temptat
4618,mount
4619,klu
4620,sebre
4621,592.9
4622,90.9
4623,"281,000"
4624,mildli
4625,second-highest
4626,"7,090,000"
4627,deg
4628,eldr
4629,kraft
4630,893.0
4631,fhr
4632,persuas
4633,nickl
4634,whatsoev
4635,25.164
4636,while
4637,o.6
4638,"561,384"
4639,"1,356,672"
4640,aztec
4641,"4,708,896"
4642,"42,824"
4643,credo
4644,disord
4645,6.94
4646,unfavour
4647,"15,608"
4648,elliott
4649,"19,186,000"
4650,test
4651,gothenburg
4652,repons
4653,mtg
4654,bundesbank
4655,adapingth
4656,u.s.-origin
4657,163.2
4658,asid
4659,"15,749,447"
4660,119.71
4661,heer
4662,carlucci
4663,rotberg
4664,24.90
4665,seismologist
4666,debtor-in-posses
4667,hodg
4668,lion
4669,3nd
4670,"1,910,063"
4671,hear
4672,nn
4673,dec.
4674,unadjust
4675,"198,000"
4676,5.5
4677,partnerhsip
4678,lauri
4679,bld
4680,gle
4681,mention
4682,"4,830"
4683,bancair
4684,one-for-on
4685,wreck
4686,petrorusr
4687,"222,000"
4688,boreali
4689,downward
4690,184
4691,dezuka
4692,"33,453"
4693,128.4
4694,cc-bank
4695,0.53
4696,10
4697,common
4698,qual
4699,crowd
4700,clariti
4701,insert
4702,260.7
4703,"229,000"
4704,451.3
4705,downtown
4706,dyer
4707,1.87
4708,cih
4709,motion-pictur
4710,tranship
4711,csi
4712,hiroshi
4713,"2,799"
4714,j.
4715,irrit
4716,"1,690,000"
4717,2.21
4718,soviet-west
4719,mcv
4720,to
4721,9.3157
4722,countrysid
4723,plumb
4724,"88,785"
4725,thulin
4726,"472,000"
4727,voicemail
4728,indo-australia
4729,283.1
4730,"4,910,330"
4731,ord
4732,glen
4733,"483,000"
4734,nicol
4735,shall
4736,duth
4737,rafidain
4738,trno
4739,montgomeri
4740,vectra
4741,northrup
4742,unresev
4743,uns
4744,66.3
4745,pursuit
4746,nsm
4747,gac
4748,breakdwon
4749,1-for-25
4750,"6,347,702"
4751,"94,254"
4752,10.786
4753,164.1
4754,dec'86
4755,608.3
4756,229.06
4757,melbourn
4758,5.96
4759,approach
4760,28-1
4761,2.275
4762,lesley
4763,chickpea
4764,kramer
4765,swarup
4766,amphenol
4767,battlefield
4768,238.8
4769,12.72
4770,copor
4771,shakey
4772,yfc
4773,author
4774,311.82
4775,silli
4776,"6,516"
4777,compartmentalis
4778,100.9
4779,worth
4780,190.4
4781,wealthi
4782,state-fix
4783,83.4
4784,bryn
4785,sporad
4786,armi
4787,19.17
4788,588
4789,tuni
4790,466.0
4791,wrap
4792,81.8
4793,64.74
4794,602
4795,267.6
4796,farther
4797,sign-up
4798,rsla
4799,"4,125"
4800,catapult
4801,went
4802,betray
4803,awf
4804,fundament
4805,incomprehens
4806,kong-list
4807,2.842
4808,t-bond
4809,acquaint
4810,previously-agre
4811,bogen
4812,core
4813,calmat
4814,element
4815,11.28
4816,penw
4817,deilmann
4818,151.05
4819,9.42
4820,cedar
4821,13.64
4822,october-decemb
4823,democratic-control
4824,beigi
4825,25th
4826,130.8
4827,geelong
4828,708
4829,28
4830,spotlight
4831,butter
4832,235.3
4833,4.14
4834,somehow
4835,"8,464,000"
4836,banstead
4837,pakistan-swedish
4838,simex
4839,hatchet
4840,apach
4841,britton
4842,gabon
4843,drake
4844,high-protein
4845,lace
4846,82.19
4847,sam
4848,"797,000"
4849,diod
4850,household
4851,397.2
4852,royal
4853,"26,708"
4854,"1,987,000"
4855,nikko
4856,jeapardi
4857,"25,000"
4858,gloeielampenfabrieken
4859,"220,911"
4860,svetozar
4861,april-may
4862,darman
4863,"3,056,000"
4864,126
4865,exsit
4866,schulz
4867,direct-d
4868,counter-react
4869,"4,712,315"
4870,anza.
4871,eishiro
4872,british-bas
4873,shake
4874,"7,100"
4875,me.
4876,subpoena
4877,8.11
4878,cbco
4879,"14,190"
4880,1945
4881,mln
4882,98.506
4883,32.4
4884,"881,778"
4885,brwd
4886,encroach
4887,42.3
4888,samudio
4889,long-haul
4890,nondur
4891,ricostruzion
4892,exort
4893,unmarket
4894,cuba
4895,abreu
4896,expansionist
4897,invetig
4898,"93,666,000"
4899,192.9
4900,"6,968,700"
4901,398.1
4902,125.54
4903,87.4
4904,"1,032,000"
4905,sum
4906,below-six
4907,respons
4908,tvx
4909,eclips
4910,condemn
4911,3.332
4912,"3,522,000"
4913,10.48
4914,10.3
4915,"3,307,000"
4916,566.3
4917,eschborn
4918,0.23
4919,financ
4920,"296,272"
4921,baulk
4922,specifi
4923,3.750
4924,"39,800"
4925,5.92
4926,"2,887,200"
4927,six-day
4928,"8,850,000"
4929,889.5
4930,muskeg
4931,photovolta
4932,0.07
4933,"788,000"
4934,276.9
4935,unimport
4936,campeau
4937,50-1
4938,21.0
4939,"20,591,000"
4940,mineabl
4941,"85,595"
4942,"127,083"
4943,"305,000"
4944,bu
4945,gat
4946,242.7
4947,"235,750"
4948,denni
4949,foreclosur
4950,gluten
4951,burnham
4952,44.125
4953,"91,157"
4954,7.55
4955,undercut
4956,330
4957,1.8320
4958,itr
4959,until
4960,lorenzo
4961,wedger
4962,yamaha
4963,sanford
4964,panamerica
4965,404.3
4966,perfectli
4967,voltag
4968,franchis
4969,qed
4970,apartheid
4971,rmuc
4972,maimi
4973,haughey
4974,"3,772,639"
4975,midsess
4976,byron
4977,discret
4978,307.59
4979,compet
4980,thorni
4981,technolgi
4982,"3,161,603"
4983,hfcs-55
4984,restart
4985,stenholm
4986,upsid
4987,frequenc
4988,forecast
4989,mastermind
4990,"138,257"
4991,410.2
4992,gil
4993,m1
4994,674.1
4995,goldmin
4996,guatemala
4997,strasbourg
4998,36.36
4999,"33,463.4"
5000,"8,967,719"
5001,"8,700"
5002,outcri
5003,circular
5004,tend
5005,piura
5006,widen
5007,infecti
5008,plow
5009,26.2
5010,lever
5011,depend
5012,"785,800"
5013,format
5014,beach
5015,non-energi
5016,site
5017,farmingdal
5018,99.79
5019,which
5020,"8,286,000"
5021,gnva
5022,hundredweight
5023,compon
5024,.06
5025,haighton
5026,comi
5027,ecuadorean
5028,breakaway
5029,propon
5030,known
5031,mission
5032,abercrombi
5033,mitsi
5034,aim
5035,fume
5036,abdul-aziz
5037,218.32
5038,25.00
5039,"21,290"
5040,hplg.f
5041,mh
5042,next
5043,fibrinolyt
5044,christa
5045,amsterdam
5046,214p
5047,u.s.-mad
5048,10.00
5049,38.26
5050,financier
5051,analysi
5052,dansk
5053,79.41
5054,mrk
5055,27.25
5056,20.02
5057,286.3
5058,belmont
5059,369
5060,pod
5061,157.6
5062,"1,670"
5063,lacr
5064,apt
5065,3.94
5066,pgrt
5067,matsushita
5068,9.19
5069,singled-out
5070,"47,000"
5071,syndicat
5072,forma
5073,908.50
5074,nohl
5075,372p
5076,shad
5077,counterpart
5078,24.97
5079,two-
5080,california
5081,49.3
5082,melam
5083,miti
5084,island
5085,fujairah
5086,forestal
5087,anitec
5088,canberra
5089,mirag
5090,egp
5091,tfb
5092,574.24
5093,autoclav
5094,144.04
5095,danburi
5096,975
5097,"21,600"
5098,7.68
5099,"409,000"
5100,binghamton
5101,csar
5102,chemist
5103,"145,000"
5104,2.83
5105,warrrant
5106,31st
5107,704.50
5108,fttr
5109,colombian
5110,without
5111,1962
5112,predepreci
5113,mckee
5114,"222,644"
5115,cytrx
5116,cbc
5117,celsiu
5118,"1,665"
5119,crm
5120,whenev
5121,"362,986"
5122,protection
5123,"1,015,800"
5124,"3,860,000"
5125,thought
5126,shipley
5127,52.4
5128,retest
5129,sustain
5130,loan-charge-off
5131,"13,100,000"
5132,"90,400"
5133,orkin
5134,unenthusiast
5135,rain-bear
5136,remodel
5137,chinese-mad
5138,volksbank
5139,helicopt
5140,jeep
5141,"15,229"
5142,"1,485,000"
5143,figur
5144,pep
5145,"1,946.32"
5146,"112,262"
5147,conant
5148,alcc
5149,"18,688,000"
5150,sidor
5151,"6,950,000"
5152,61.60
5153,midway
5154,adj
5155,ching
5156,donalda
5157,"4,904,000"
5158,475p
5159,enact
5160,compens
5161,landmark
5162,2444
5163,graham-mccormick
5164,islamabad
5165,"33,992.0"
5166,benderli
5167,"19,846"
5168,oilman
5169,lid
5170,chlorofluorocarbon
5171,concert
5172,"29,600"
5173,pariba
5174,transfer
5175,15.14
5176,4.2
5177,"8,367,000"
5178,"2,170,628"
5179,"44,000"
5180,engi
5181,moribund
5182,redkin
5183,"2,348"
5184,62.1
5185,"1,355,000"
5186,frdm
5187,824.3
5188,lambert
5189,vice
5190,623
5191,eastpark
5192,latter
5193,"2,820.1"
5194,keycorp
5195,uco
5196,initi
5197,183.68
5198,forc
5199,"45,690"
5200,vigil
5201,"83,000"
5202,spethmann
5203,"4,555,000"
5204,"2,511"
5205,ibm
5206,'protection
5207,"166,968"
5208,"7,975,000"
5209,formul
5210,nasti
5211,197.7
5212,tyco
5213,newsag
5214,stess
5215,danial
5216,"8,181"
5217,autorout
5218,sturbridg
5219,66.4
5220,viner
5221,cntral
5222,repetit
5223,135.5
5224,45.52
5225,"1,278,529"
5226,swedish
5227,therbi
5228,biw
5229,15.870
5230,alarm
5231,ratifi
5232,hoffmey
5233,464.0
5234,subsoil
5235,"3,895,267"
5236,oshap
5237,maha
5238,friday
5239,sunter
5240,"521,219"
5241,tael
5242,oelmuehl
5243,"1,201.6"
5244,stna
5245,stockbrok
5246,coars
5247,"829,747"
5248,underproduc
5249,aberr
5250,antc
5251,"1,798,000"
5252,highlight
5253,1.25
5254,ingvar
5255,arrear
5256,debri
5257,societ
5258,linerboard
5259,4.912
5260,rpt
5261,canadian-u.s.
5262,simonsen
5263,"4,711,000"
5264,stonewal
5265,kassenoblig
5266,"25,876"
5267,buri
5268,"846,253"
5269,electro-sensor
5270,larri
5271,bober
5272,ouvrag
5273,"56,000"
5274,mirror
5275,balanc
5276,"14,384"
5277,eurodeposit
5278,intric
5279,guarantor
5280,4.59
5281,"9,726,000"
5282,foreign-exchang
5283,cpc.n
5284,pet
5285,"573,000"
5286,33.25
5287,pamukbank
5288,accredit
5289,role
5290,1.185
5291,marshal
5292,clot
5293,sonoco
5294,ohio
5295,outlay
5296,139.8
5297,microwav
5298,leasehold
5299,782.50
5300,goria
5301,beshir
5302,"34,030.3"
5303,wholly-
5304,penhal
5305,9.55
5306,29.1
5307,48.09
5308,espc
5309,alding
5310,"1,001.4"
5311,r
5312,amour
5313,edinburgh
5314,'sourc
5315,miseri
5316,hosp
5317,bite
5318,"534,000"
5319,"3,915,370"
5320,proposit
5321,35.18p
5322,57.7
5323,76.29
5324,"4,268,000"
5325,hudong
5326,purpos
5327,2.40
5328,steam
5329,miraflor
5330,31.4
5331,zairean
5332,2.725
5333,137.65
5334,lugano
5335,delta
5336,pawl
5337,keihin
5338,shaanxi
5339,amo.n
5340,18.9
5341,nbc
5342,92.25
5343,"1,870"
5344,124.6
5345,5.17
5346,usa
5347,rock
5348,drama
5349,144
5350,heidweil
5351,kunayev
5352,gradovil
5353,reconstruct
5354,genossenschaftsbank
5355,midmorn
5356,177.1
5357,suspend
5358,pportfolio
5359,gardner-denv
5360,instant
5361,11-year
5362,plab
5363,221.53
5364,acmex
5365,"26,947"
5366,42.2p
5367,"1,104,472"
5368,"4,895,720"
5369,copier
5370,tax-loss
5371,"6,570,000"
5372,dive
5373,rbvb.br
5374,"46,867"
5375,jason
5376,in-depth
5377,ss
5378,guangxi
5379,sii
5380,steepen
5381,"3,261,000"
5382,"53,254"
5383,34.24
5384,tultex
5385,below
5386,tan
5387,"3,461,000"
5388,"581,000"
5389,solidifi
5390,telecommun
5391,"162,000"
5392,reeserv
5393,'d
5394,161.7
5395,php
5396,432.7p
5397,bluefish
5398,strata
5399,hsv-seven
5400,treasury-bond
5401,234.0
5402,ernesto
5403,"183,597"
5404,tuskaloosa
5405,galileo
5406,bee
5407,clash
5408,xrx
5409,"144,590"
5410,an
5411,liberalis
5412,bankruptci
5413,venezuelan
5414,jeremi
5415,most
5416,74.55
5417,cosmet
5418,97.27
5419,"2,664,852"
5420,rel
5421,endaka
5422,unsal
5423,"6,194,000"
5424,fayettevil
5425,ppt
5426,pre-split
5427,"5,047,383"
5428,newsprint
5429,competititv
5430,m.w
5431,"61,500"
5432,baa-1
5433,moscow
5434,nawg
5435,dow
5436,"125,150"
5437,arauca
5438,93.0
5439,metalna
5440,keithley
5441,337.3
5442,"5,638,596"
5443,"5,988,000"
5444,590p
5445,skoki
5446,failur
5447,"3,267"
5448,equiti
5449,reflat
5450,francisco-bas
5451,mmm
5452,shoul
5453,freight
5454,lombardo
5455,ventil
5456,66.76
5457,"9,271,541"
5458,denounc
5459,wellesley
5460,75.19
5461,undock
5462,15-april
5463,geoffrion
5464,sfx
5465,5.90
5466,escrow
5467,pierson
5468,co-chairman
5469,ortiz
5470,24.8p
5471,"5,029,000"
5472,"3,894,844"
5473,long-held
5474,"67,640"
5475,pr
5476,end-of-month
5477,hbe
5478,"319,000"
5479,depo
5480,barrier
5481,113.4
5482,profil
5483,ring-out
5484,"4,184,000"
5485,pennock
5486,onc
5487,rajastan
5488,unconsolid
5489,875.59
5490,"6,187,000"
5491,"8,285"
5492,koether
5493,vowg.f
5494,86.2
5495,verdict
5496,labor
5497,"86,612"
5498,4.50
5499,airplan
5500,moer
5501,8.52
5502,"1,199,791"
5503,sinnificantli
5504,cordt
5505,119.17
5506,517
5507,bros.
5508,ruvuma
5509,che
5510,"1,434.0"
5511,squeez
5512,imi
5513,*
5514,ert
5515,nonrecur
5516,8-9
5517,electromed
5518,37.2p
5519,rosemari
5520,"2,293,000"
5521,"3,354,000"
5522,starcraft
5523,guam
5524,nonaccur
5525,watersid
5526,gravity-bas
5527,137.4
5528,solita
5529,"1,698,345"
5530,mauritiu
5531,ildl
5532,"8,265,541"
5533,globo
5534,two-plu
5535,incid
5536,949.00
5537,multiyear
5538,"5,254,000"
5539,buttros
5540,f.j.
5541,27-juli
5542,wppss
5543,concept
5544,178
5545,cum
5546,predatori
5547,0.046
5548,734.50
5549,contigu
5550,lafox
5551,ablaz
5552,"410,821"
5553,bahar
5554,attorney
5555,mtma
5556,13.57
5557,flown
5558,acquist
5559,regenc
5560,72-5
5561,"650,000-900,000"
5562,cold
5563,novc
5564,"498,800"
5565,nordstrom
5566,volatil
5567,post-split
5568,fallen
5569,anjalankoski
5570,flashpoint
5571,976.50
5572,kunio
5573,"1,546,000"
5574,still
5575,who
5576,695.4
5577,upen
5578,width
5579,12.41
5580,postech
5581,"3,780,543"
5582,"490,927"
5583,firstg
5584,spika
5585,year-to-year
5586,421p
5587,8.91
5588,"695,000"
5589,cgp
5590,64.45
5591,"3,883,000"
5592,900
5593,offal
5594,stow
5595,43.0
5596,quick
5597,chacin
5598,possbil
5599,disast
5600,non-collater
5601,tunisian
5602,everybodi
5603,capciti
5604,70.8
5605,refriger
5606,wasa
5607,"4,059,702"
5608,powr
5609,4.07
5610,8.40
5611,163
5612,247
5613,allan
5614,2.04
5615,149.40
5616,fhsi
5617,"21,200"
5618,4-36-2-10w2
5619,robinson-humphrey
5620,97.4
5621,"572,100"
5622,pill
5623,36.50
5624,22.24
5625,ginsburg
5626,safeti
5627,17.20
5628,73.25
5629,0.40
5630,cfa
5631,151.4
5632,612.4
5633,"11,026,000"
5634,"500,000"
5635,montedison
5636,"10,156"
5637,39.7
5638,affirm
5639,5.12
5640,1.5798
5641,kriwet
5642,residenti
5643,boltz
5644,pharmacologist
5645,40-week
5646,2.1-
5647,taiwain
5648,seko
5649,bergern
5650,"284,945"
5651,"1,265.50"
5652,more
5653,weather-damag
5654,sever
5655,5.81
5656,guillaum
5657,3.54
5658,620.9
5659,knowlton
5660,almir
5661,western-styl
5662,164.6
5663,ensourc
5664,planter
5665,22.44027
5666,temporari
5667,622
5668,unfold
5669,"1,212"
5670,blue-chip
5671,kickback
5672,1997.
5673,"11,070,000"
5674,troy
5675,prevail
5676,counti
5677,"168,000"
5678,imprt
5679,3.9989
5680,harar
5681,someth
5682,investmento
5683,rabo-bank
5684,12.60
5685,220
5686,both
5687,boersen
5688,"19,500"
5689,mid-grad
5690,disqualif
5691,salari
5692,andriessen
5693,rotterdam
5694,unchang
5695,31.09
5696,likewis
5697,secret
5698,jamesway
5699,bitten
5700,satisfactori
5701,melvil
5702,"1,306,595"
5703,189.4
5704,hard-lin
5705,unless
5706,"359,699"
5707,"2,381,000"
5708,pizzey
5709,738.6
5710,139.46
5711,alberta
5712,"330,613"
5713,pre-empt
5714,scaled-back
5715,5.37
5716,immers
5717,level
5718,fufil
5719,"53,040"
5720,pow
5721,1.243
5722,norf
5723,"11,551,000"
5724,0.6944
5725,rospatch
5726,hayes-albion
5727,3.53
5728,stormi
5729,altern
5730,lancashir
5731,firm
5732,b.c.
5733,alik
5734,ferroalloy
5735,on-lend
5736,"1,569,287"
5737,"118,852"
5738,dnzr
5739,3.7498
5740,himg
5741,28.8
5742,long-run
5743,enrol
5744,rahr
5745,pigmeat
5746,suchet
5747,"5,415,000"
5748,gloeilampenfabriek
5749,gmhc
5750,kren
5751,518
5752,38.01
5753,hamtramck
5754,"1,557,000"
5755,statment
5756,darrel
5757,one-sixth
5758,simultan
5759,"61,398"
5760,kilomet
5761,long
5762,oklahoma
5763,schlueter
5764,marcom
5765,5.40
5766,"21,110"
5767,"589,000"
5768,104.9
5769,display
5770,lsi
5771,subdivis
5772,feel
5773,14.4
5774,turnabout
5775,option
5776,40.9
5777,nitro
5778,"4,558,244"
5779,$
5780,fogiv
5781,simbl
5782,"2,200,000"
5783,?
5784,182.0
5785,"14,078"
5786,starrett
5787,912.8
5788,diplomat
5789,sugarcan
5790,"155,467,000"
5791,csx
5792,3-7
5793,"1,365,655"
5794,int
5795,tannurah
5796,"1,655.8"
5797,sarl
5798,disloc
5799,sugar
5800,anti-vir
5801,dade
5802,reoffer
5803,48-5
5804,17.48
5805,32
5806,stress
5807,2.255
5808,250.9
5809,leopold
5810,5.19
5811,timothi
5812,"413,000"
5813,gotoh
5814,3.58
5815,impract
5816,facsimil
5817,20.8
5818,peril
5819,liban
5820,retent
5821,"4,104"
5822,"4,257,000"
5823,rideshar
5824,volksfuersorg
5825,2.73
5826,"153,000"
5827,giant
5828,96.1
5829,34.2
5830,"5,011,000"
5831,291.7
5832,59.2
5833,"18,191"
5834,27.62
5835,discoveri
5836,differenti
5837,odom
5838,norristown
5839,3.0
5840,108.3
5841,liner
5842,2.88-1
5843,politiken
5844,864.1
5845,fo
5846,97.5
5847,tazara
5848,case
5849,men
5850,53.10
5851,und
5852,broker
5853,16-3
5854,pt
5855,610
5856,ryl
5857,25-month
5858,w.
5859,cite
5860,7.06
5861,72.7
5862,bug
5863,avalon
5864,figuerra
5865,928
5866,hurtado
5867,28.80
5868,aydin
5869,nioc
5870,vangarlem
5871,canal
5872,1.492
5873,"19,741"
5874,"9,037,596"
5875,one-tenth
5876,+13.5
5877,"4,100,000"
5878,malrit
5879,120.3
5880,palo
5881,zemljar
5882,grisanti
5883,torrid
5884,"2,414,500"
5885,730
5886,slower
5887,"28,439"
5888,conjectur
5889,conn.-bas
5890,waterflood
5891,"714,000"
5892,lawrenc
5893,perrin
5894,unfound
5895,damage-diplomat
5896,"641,823"
5897,dupont
5898,"427,000"
5899,1.8063
5900,audi
5901,tarragona
5902,recept
5903,37.9
5904,731
5905,accu
5906,steadi
5907,"12,880"
5908,"1,608,000"
5909,114.7
5910,carbozulia
5911,62.08
5912,end-week
5913,oustand
5914,"2,015,953"
5915,one-year
5916,prog
5917,risk
5918,gartner
5919,4.62
5920,844.30
5921,produt
5922,fanni
5923,altner
5924,mid-morn
5925,variat
5926,"10,502"
5927,1.323
5928,0.020
5929,tsi
5930,awcsa
5931,ashmun
5932,leigh-pemberton
5933,816.1
5934,"4,285,000"
5935,kilobit
5936,regi
5937,"151,800"
5938,trigger
5939,509.8
5940,push
5941,republicbank
5942,354
5943,canadian-bas
5944,loss
5945,132.4
5946,dunkirk
5947,hallmark
5948,"13,800.5"
5949,:
5950,ferri
5951,pringl
5952,statutori
5953,"94,000"
5954,indigen
5955,wainoco
5956,"287,391"
5957,revenu
5958,"10,097"
5959,tier
5960,129.8
5961,280.22
5962,among
5963,'event
5964,cigra
5965,craftmat
5966,psr
5967,subotica
5968,cathet
5969,35.44
5970,ericksen
5971,nucel
5972,23-30
5973,scat
5974,1.37
5975,10.45
5976,19.16
5977,cope
5978,rena.pa
5979,ilacqua
5980,1979-81
5981,doctrin
5982,gnp
5983,chile
5984,biomet
5985,100.20
5986,lyke
5987,38.39
5988,span
5989,ipe
5990,predict
5991,50.23
5992,45.64
5993,bellet
5994,el-say
5995,guidelin
5996,eileen
5997,f.o.b
5998,ccom
5999,w.australia
6000,bei
6001,"328,000"
6002,0.211
6003,renew
6004,melvyn
6005,specialis
6006,wine
6007,blow
6008,minority-own
6009,carwin
6010,wnt
6011,early-may
6012,viru
6013,reimposit
6014,98.8
6015,tektronix
6016,rate-sumita
6017,cent
6018,100.5
6019,halldor
6020,375.95
6021,thhe
6022,repo
6023,magazin
6024,"264,000"
6025,greenwood
6026,torday
6027,praug
6028,kind
6029,"129,000"
6030,etienn
6031,interpharm
6032,"2,189,000"
6033,219.6
6034,5.9
6035,7224
6036,738.2
6037,"941,000"
6038,"1,474,000"
6039,lue
6040,148.88
6041,agronomist
6042,prawiro
6043,34-5
6044,over-product
6045,emperor
6046,clearcut
6047,helena
6048,euphoria
6049,nan
6050,plexman
6051,np
6052,iceland
6053,undertaken
6054,highland
6055,"8,422,811"
6056,99.938
6057,"97,111,000"
6058,tamper-evid
6059,aldershot
6060,"27,490"
6061,patent
6062,"247,000"
6063,norman
6064,kph
6065,keswick
6066,pl480
6067,asiat
6068,18.8
6069,"6,076,000"
6070,"49,421"
6071,expos
6072,revelv
6073,16.12
6074,annesley
6075,intiti
6076,yemen
6077,nipn.t
6078,10-7
6079,ayal
6080,effot
6081,9.212
6082,utilicorp
6083,eme
6084,lpg
6085,jetti
6086,arusha
6087,"7,752,800"
6088,valdes
6089,watti
6090,mustafa
6091,"48,195,000"
6092,opecna
6093,est
6094,biosearch
6095,76.19
6096,ministri
6097,profit-particip
6098,spot-next
6099,"28,898,000"
6100,kobe
6101,alleghney
6102,hundr
6103,hackl
6104,"1,145"
6105,small
6106,exhcnmag
6107,deploy
6108,sunni
6109,"2,601,000"
6110,"549,928"
6111,36.45
6112,"2,517,000"
6113,715.5
6114,134.1
6115,"4,948,731"
6116,fwe
6117,"49,000"
6118,pain
6119,24-day
6120,considr
6121,lavoro
6122,mess
6123,"2,422,000"
6124,spot
6125,"375,000"
6126,40.96
6127,matushita
6128,gallon
6129,"4,194,466"
6130,forst
6131,3.054
6132,tour
6133,perpetu
6134,nrm
6135,"382,014"
6136,36.00
6137,rpi
6138,monsoon
6139,correct
6140,sterling-target
6141,spike
6142,4.67
6143,61
6144,fcl
6145,"17,032,000"
6146,skid
6147,117.9
6148,5-6
6149,all-parti
6150,third
6151,"675,000"
6152,lewis.dtd
6153,cbss
6154,"57,911"
6155,halliburton
6156,jard.hk
6157,corrected-hecla
6158,4.723
6159,recal
6160,wheat-market
6161,oaxaca
6162,"41,400"
6163,251.0
6164,kidder
6165,"727,000"
6166,shrewd
6167,bernic
6168,reykjavik
6169,forseeabl
6170,high-cost
6171,lndh.si
6172,deviat
6173,hilton
6174,120.6
6175,stride
6176,"439,100"
6177,sheriff
6178,westinghous
6179,month-on-month
6180,broke
6181,mcorp
6182,50.1
6183,ladbrok
6184,underli
6185,exercis
6186,100.7
6187,82.36
6188,manitoba
6189,shorter
6190,oil-produc
6191,welsh
6192,68.98
6193,hmmwv
6194,jabob
6195,97.1
6196,3.81
6197,isda
6198,847
6199,1.06
6200,firstcorp
6201,7.75
6202,dti
6203,soy
6204,lib
6205,"828,000"
6206,singer
6207,47.6
6208,cot
6209,1.94
6210,svm
6211,suez
6212,sway
6213,laser-print
6214,"33,074"
6215,86.09
6216,tobacco
6217,commun
6218,harsher
6219,nvco
6220,dram.o
6221,"9,300"
6222,bluff
6223,charm
6224,184.6
6225,"140,700"
6226,limit
6227,cayzer
6228,nakason
6229,122.8
6230,prudenti
6231,dial
6232,iagifu
6233,profitabiliy
6234,unjust
6235,4.15
6236,diepp
6237,"6,416,000"
6238,cyanide-bas
6239,59
6240,83.2
6241,"4,902,778"
6242,513.1
6243,crest
6244,consign
6245,zheziang
6246,13-week
6247,ju'aymah
6248,"142,000"
6249,degre
6250,mxxx
6251,calv
6252,waterhous
6253,belgrad
6254,471.5
6255,inconceiv
6256,"712,087"
6257,375p
6258,274
6259,345-360
6260,2.58
6261,"570,000"
6262,rhm
6263,"3,250"
6264,hrzb
6265,"52,100"
6266,automat
6267,broom
6268,555
6269,92.4
6270,34.811
6271,product
6272,10.84
6273,suppli
